instructor,instructor_social_link,instructor_label,number_courses,courses_names,courses_ref
Paula Becerra,@polibesa,Education Analyst  en Platzi,5,Escuela de Maestros Platzi -- Curso de Escritura Online -- Curso de Escritura en Inglés -- Curso de Inglés Técnico para Profesionales -- Curso Básico de Inglés,https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/escritura/ -- https://platzi.com/cursos/escritura-ingles/ -- https://platzi.com/cursos/ingles/ -- https://platzi.com/cursos/ingles-basico/
Pedro Díaz,@peadiazmo,Client technical specialist for Power Systems  en IBM,2,Fundamentos de Bases de Datos -- Curso de Seguridad Informática para Empresas,https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/seguridad-empresas/
Peter Pezaris,@pezster,CEO  en CodeStream,1,Curso de CodeStream,https://platzi.com/cursos/comunicacion-codestream/
Rafa Poveda,@bi0xid,CTO  en MyTinySecrets Limited,1,Curso de Temas y Plugins en WordPress,https://platzi.com/cursos/wordpress/
Raquel Mosquera,NA,CEO  en ArchGroup,1,Curso de Internacionalización para Startups,https://platzi.com/cursos/internacionalizacion-startups/
Raúl Goycoolea,NA,en Xertica,1,Fundamentos de Google Cloud Platform por Xertica,https://platzi.com/cursos/fundamentos-google/
Rémy Bastien,@flash_stopper,Consultor  en Gamification,1,Curso de Gamificación,https://platzi.com/cursos/gamification/
Ricardo Celis,@celismx,Teaching for students  en Platzi,4,Curso de Algoritmos con C -- Escuela de Maestros Platzi -- Fundamentos de Desarrollo de Hardware con Arduino -- Curso de Robótica con Arduino,https://platzi.com/cursos/algoritmos/ -- https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/fundamentos-arduino/ -- https://platzi.com/cursos/robotica-arduino/
Ricardo Izquierdo,NA,Game Designer  en Independiente,2,Curso de Diseño de Videojuegos -- Curso de Testing de Videojuegos,https://platzi.com/cursos/diseno-videojuegos/ -- https://platzi.com/cursos/testing-videojuegos/
Roberto González,@robertcode,CTO y fundador  en Aerolab,1,Curso de Progressive Web Apps con React.js,https://platzi.com/cursos/pwa-react-js/
Roberto González,NA,CTO  en Aerolab,1,Curso de Next.js,https://platzi.com/cursos/next-js/
Rodrigo Díaz Concha,@rdiazconcha,Regional Director y MVP  en Microsoft,1,Curso de Xamarin.Forms,https://platzi.com/cursos/xamarin-forms/
Ronald Hernández,@QuePariocom,YouTuber y Realizador  en QueParió!,1,Curso de Producción para Youtube,https://platzi.com/cursos/youtube/
Ruben Gomez,@soyrubengomez,Director  en GO multimedios,1,Curso de Diseño Visual de Marcas,https://platzi.com/cursos/marca-visual/
Sacha Lifszyc,@sachalifs,JavaScript FullstackDeveloper  en Restorando,5,Curso de Bootstrap -- Curso de Foundation -- Curso básico de Vue.js -- Curso de MEAN -- Fundamentos de JavaScript,https://platzi.com/cursos/bootstrap/ -- https://platzi.com/cursos/foundation/ -- https://platzi.com/cursos/vuejs/ -- https://platzi.com/cursos/mean/ -- https://platzi.com/cursos/fundamentos-javascript/
Sam Altman,@sama,President  en Y Combinator,1,Taller de creación de Startups,https://platzi.com/cursos/taller-startups/
Santiago Zavala,@dfect,Partner  en 500 Startups,1,Taller de creación de Startups,https://platzi.com/cursos/taller-startups/
Sebastian Tellez,@gorrotowi,Android developer  en Independiente,1,Curso de Kotlin,https://platzi.com/cursos/kotlin/
Sergio Nouvel,@shesho,All things UX  en continuumhq,1,Curso de Desarrollo de Productos con Metodología Lean,https://platzi.com/cursos/lean-ux/
Sergio Orduz,NA,Ingeniero Eléctrico,4,Curso de Matemáticas Discretas -- Curso de Ecuaciones Diferenciales -- Curso de Álgebra Lineal -- Curso de Cálculo Multivariable,https://platzi.com/cursos/discretas/ -- https://platzi.com/cursos/ecuaciones/ -- https://platzi.com/cursos/algebra-lineal/ -- https://platzi.com/cursos/calculo-multivariable/
Sergio Xalambrí,@sergiodxa,Frontend Developer  en Platzi,1,Curso de Deploy con Now.sh,https://platzi.com/cursos/deploy-now/
Sergio Zafra,@serzafra,Country Manager  en Platzi,1,Introducción a la Creación de Empresas y Startups,https://platzi.com/cursos/creacion-de-empresas/
Stephanie Speranza,NA,Consultora  en Minds Garage,1,Curso de Design Thinking con Minds Garage,https://platzi.com/cursos/design-thinking/
Vaka Lazzari,@vakalaza,Director  en Mindset,1,Curso de Storytelling,https://platzi.com/cursos/storytelling/
Victor Aliaga,NA,Backend Developer  en Platzi,2,Curso de Swift -- Curso de Desarrollo de Aplicaciones para iOS,https://platzi.com/cursos/swift/ -- https://platzi.com/cursos/apps-ios/
William Wolf,@willwolf_,Mathematician & Data Scientist   en ShopKeep.,2,Curso de Big Data y Ciencia de Datos -- Curso Profesional de Data Science,https://platzi.com/cursos/data/ -- https://platzi.com/cursos/datascience/
Wolfram,NA,CO-Founder  en Newrona,1,Curso de Introducción a la Realidad Aumentada,https://platzi.com/cursos/realidad-aumentada/
Yamil Asusta,@elbuo8,Production Engineer  en auth0,1,Curso Profesional de DevOps,https://platzi.com/cursos/devops/
Yesica Cortés,@Yesikitaliz,Course Manager   en Platzi,2,Escuela de Maestros Platzi -- Curso de Redes de Internet,https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/redes/
Yohan Graterol,@yograterol,DevOps  en Platzi,4,Curso de Bitcoin y Blockchain -- Curso de Programación en Go -- Curso de MongoDB y Redis -- Curso de DigitalOcean,https://platzi.com/cursos/bitcoin/ -- https://platzi.com/cursos/go-basico/ -- https://platzi.com/cursos/mongodb-redis/ -- https://platzi.com/cursos/digital-ocean/
