instructor_name,label,company/profession,number_courses,avg_rating,courses_names,courses_ref
Roger D. Peng,PhD,Associate Professor,5,4.2,The R Programming Environment -- Advanced R Programming -- Building R Packages -- Building Data Visualization Tools -- Mastering Software Development in R Capstone,https://www.coursera.org/learn/r-programming-environment -- https://www.coursera.org/learn/advanced-r -- https://www.coursera.org/learn/r-packages -- https://www.coursera.org/learn/r-data-visualization -- https://www.coursera.org/learn/r-capstone
Brooke Anderson,Assistant Professor,Environmental & Radiological Health Sciences,5,4.2,The R Programming Environment -- Advanced R Programming -- Building R Packages -- Building Data Visualization Tools -- Mastering Software Development in R Capstone,https://www.coursera.org/learn/r-programming-environment -- https://www.coursera.org/learn/advanced-r -- https://www.coursera.org/learn/r-packages -- https://www.coursera.org/learn/r-data-visualization -- https://www.coursera.org/learn/r-capstone
Alex Cowan,Faculty & Batten Fellow,NA,5,4.62,Agile Meets Design Thinking -- Running Product Design Sprints -- Managing an Agile Team -- Testing with Agile -- Agile Development in Practice (Project-centered Course),https://www.coursera.org/learn/uva-darden-getting-started-agile -- https://www.coursera.org/learn/uva-darden-running-design-sprints -- https://www.coursera.org/learn/uva-darden-agile-team-management -- https://www.coursera.org/learn/uva-darden-agile-testing -- https://www.coursera.org/learn/uva-darden-agile-development-capstone
"Dr. Tim ""Dr. T"" Chamillard",Associate Professor,NA,5,4.84,Introduction to C# Programming and Unity -- More C# Programming and Unity -- Intermediate Object-Oriented Programming for Unity Games -- Data Structures and Design Patterns for Game Developers -- C# Programming for Unity Game Development Capstone Project,https://www.coursera.org/learn/introduction-programming-unity -- https://www.coursera.org/learn/more-programming-unity -- https://www.coursera.org/learn/intermediate-object-oriented-programming-unity-games -- https://www.coursera.org/learn/data-structures-design-patterns -- https://www.coursera.org/learn/programming-unity-game-development-project
Nguyen Gia Tuan,MSc,NA,1,3.8,Embedded Hardware and Operating Systems,https://www.coursera.org/learn/embedded-operating-system
Juha Plosila,Associate Professor,NA,2,4.75,Web Connectivity and Security in Embedded Systems -- Capstone:  Autonomous Runway Detection for IoT,https://www.coursera.org/learn/iot-connectivity-security -- https://www.coursera.org/learn/autonomous-runway-detection
Farhoud Hosseinpour,Doctoral Researcher,NA,1,4.5,Web Connectivity and Security in Embedded Systems,https://www.coursera.org/learn/iot-connectivity-security
Simon Holmbacka,Dr,NA,1,4.4,Development of Real-Time Systems,https://www.coursera.org/learn/real-time-systems
Angela Joens,Assistant Vice Chancellor of Development Outreach,NA,1,4.5,Fundraising and Development Foundations,https://www.coursera.org/learn/fundraising-development
Michelle Poesy,Senior Director,NA,1,2.3,Annual Campaigns: Building a Case for Support,https://www.coursera.org/learn/annual-campaigns
Jason Wohlman,Associate Vice Chancellor for University Development,NA,1,NaN,Major and Principal Gifts,https://www.coursera.org/learn/major-principal-gifts
Brian Casey,Assistant Vice Chancellor for Planned Giving,NA,1,NaN,Planned Giving,https://www.coursera.org/learn/planned-giving
Praveen Mittal,Adjunct Professor,NA,4,4.33,Software Development Processes and Methodologies -- Agile Software Development -- Lean Software Development -- Engineering Practices for Building Quality Software,https://www.coursera.org/learn/software-processes -- https://www.coursera.org/learn/agile-software-development -- https://www.coursera.org/learn/lean-software-development -- https://www.coursera.org/learn/engineering-practices-secure-software-quality
Kevin Wendt,Teaching Specialist,NA,2,4.7,Software Development Processes and Methodologies -- Engineering Practices for Building Quality Software,https://www.coursera.org/learn/software-processes -- https://www.coursera.org/learn/engineering-practices-secure-software-quality
Jogesh K. Muppala,Associate Professor,NA,4,4.88,"Front-End Web UI Frameworks and Tools: Bootstrap 4 -- Front-End Web Development with React -- Multiplatform Mobile App Development with React Native -- Server-side Development with NodeJS, Express and MongoDB",https://www.coursera.org/learn/bootstrap-4 -- https://www.coursera.org/learn/front-end-react -- https://www.coursera.org/learn/react-native -- https://www.coursera.org/learn/server-side-nodejs
